City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,83.44,73,60,12.55,broken clouds
1,Provideniya,RU,64.3833,-173.3,48.36,81,100,13.42,overcast clouds
2,Himare,AL,40.1017,19.7447,74.08,69,0,3.02,clear sky
3,Moose Factory,CA,51.2585,-80.6094,69.8,64,0,8.05,clear sky
4,Kununurra,AU,-15.7667,128.7333,67.98,94,2,0.0,clear sky
5,Georgetown,MY,5.4112,100.3354,78.73,95,20,2.3,few clouds
6,East London,ZA,-33.0153,27.9116,63.0,87,21,10.8,few clouds
7,Vizinga,RU,61.0749,50.1031,40.3,98,100,7.38,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,58.91,86,0,12.66,clear sky
9,Saint George,US,37.1041,-113.5841,107.44,16,0,10.36,clear sky
10,Port Elizabeth,ZA,-33.918,25.5701,57.31,98,0,5.75,clear sky
11,Atuona,PF,-9.8,-139.0333,76.8,81,29,28.16,light rain
12,Bluff,NZ,-46.6,168.3333,45.81,69,91,2.51,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,63.95,75,19,15.01,few clouds
14,Inhambane,MZ,-23.865,35.3833,70.52,63,100,7.49,overcast clouds
15,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,16.11,overcast clouds
16,Soldotna,US,60.4878,-151.0583,56.07,72,100,4.61,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,39.31,65,100,11.5,overcast clouds
18,San Patricio,US,28.017,-97.5169,91.35,45,99,4.68,overcast clouds
19,Myre,NO,69.1036,15.9492,46.35,69,98,4.54,overcast clouds
20,Broome,US,42.2506,-75.833,69.85,87,100,3.44,overcast clouds
21,Murakami,JP,38.2333,139.4833,76.89,89,100,2.28,moderate rain
22,Dikson,RU,73.5069,80.5464,37.65,87,100,19.26,light rain
23,Albany,US,42.6001,-73.9662,69.64,85,97,1.32,overcast clouds
24,Busselton,AU,-33.65,115.3333,47.44,84,83,5.46,broken clouds
25,Kungurtug,RU,50.5994,97.5228,51.03,45,1,3.2,clear sky
26,Kahului,US,20.8947,-156.47,89.62,64,20,25.32,few clouds
27,Brandon,US,27.9378,-82.2859,89.89,78,40,6.91,scattered clouds
28,Severo-Kurilsk,RU,50.6789,156.125,57.11,92,100,17.74,light rain
29,Fortuna,US,40.5982,-124.1573,75.65,45,89,6.96,overcast clouds
30,Itoman,JP,26.1247,127.6694,80.62,78,40,16.11,scattered clouds
31,Butaritari,KI,3.0707,172.7902,81.72,72,100,14.7,overcast clouds
32,Nemuro,JP,43.3236,145.575,64.54,84,68,10.78,broken clouds
33,Hobart,AU,-42.8794,147.3294,49.26,93,75,9.22,light rain
34,Kampot,KH,10.6167,104.1833,75.25,94,100,8.59,overcast clouds
35,Namatanai,PG,-3.6667,152.4333,82.17,74,30,5.82,scattered clouds
36,San Quintin,MX,30.4833,-115.95,82.83,63,5,11.48,clear sky
37,Port Augusta,AU,-32.5,137.7667,51.3,90,60,9.17,broken clouds
38,Jacareacanga,BR,-6.2222,-57.7528,88.21,40,99,0.92,overcast clouds
39,Ileza,RU,61.0533,43.9002,38.16,94,100,8.59,overcast clouds
40,Rikitea,PF,-23.1203,-134.9692,72.77,74,6,23.94,clear sky
41,Vinh,VN,18.6667,105.6667,78.24,91,100,8.81,heavy intensity rain
42,Soyo,AO,-6.1349,12.3689,73.8,90,22,10.74,few clouds
43,Qasigiannguit,GL,68.8193,-51.1922,39.45,90,96,4.36,overcast clouds
44,Muskegon,US,43.3,-86.1334,80.94,60,40,8.05,scattered clouds
45,Torbay,CA,47.6666,-52.7314,54.37,78,75,9.22,broken clouds
46,Luganville,VU,-15.5333,167.1667,81.99,74,9,4.94,clear sky
47,Pevek,RU,69.7008,170.3133,42.22,65,7,13.51,clear sky
48,Buckingham,GB,51.9997,-0.9878,61.66,66,90,3.0,overcast clouds
49,Narsaq,GL,60.9167,-46.05,48.42,85,33,2.8,scattered clouds
50,Lagoa,PT,39.05,-27.9833,74.7,89,99,19.8,light rain
51,Jamestown,US,42.097,-79.2353,68.52,69,100,8.05,overcast clouds
52,Ribeira Grande,PT,38.5167,-28.7,75.99,91,100,18.3,light rain
53,New Norfolk,AU,-42.7826,147.0587,48.92,81,89,1.45,overcast clouds
