City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,83.44,broken clouds,-2.5744,150.7967,Nusa Island Retreat
2,Himare,AL,74.08,clear sky,40.1017,19.7447,Hotel Dima
5,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
11,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
14,Inhambane,MZ,70.52,overcast clouds,-23.865,35.3833,Oceano
21,Murakami,JP,76.89,moderate rain,38.2333,139.4833,Senami Grand Hotel Haginoya
29,Fortuna,US,75.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
30,Itoman,JP,80.62,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
31,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
35,Namatanai,PG,82.17,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
36,San Quintin,MX,82.83,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
40,Rikitea,PF,72.77,clear sky,-23.1203,-134.9692,People ThankYou
41,Vinh,VN,78.24,heavy intensity rain,18.6667,105.6667,Vuong Hoan 2
42,Soyo,AO,73.8,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
44,Muskegon,US,80.94,scattered clouds,43.3,-86.1334,Timberline Estates
46,Luganville,VU,81.99,clear sky,-15.5333,167.1667,The Espiritu Hotel
50,Lagoa,PT,74.7,light rain,39.05,-27.9833,Casa Das Faias
52,Ribeira Grande,PT,75.99,light rain,38.5167,-28.7,Quinta da Meia Eira
61,Guerrero Negro,MX,83.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
63,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
66,Sao Filipe,CV,78.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
67,San Andres,CO,84.22,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
